"id","utmlong","utmlat","ESTtime","dx","dy","dist_km","dt","R2n_km2","abs.angle","rel.angle","grid.cell"
1,567085,2948630,"2016-07-06 02:00:00",7,-7,0.00989949493661167,7200,0.000985,-0.785398163397448,2.64765128467021,2780
1,567092,2948623,"2016-07-06 04:00:00",0,0,0,7200,0.000481,NA,NA,2780
1,567092,2948623,"2016-07-06 06:00:00",22,-6,0.0228035085019828,7200,0.000481,-0.266252049150925,0.519146114246523,2780
1,567114,2948617,"2016-07-06 08:00:00",-20,-7,0.0211896201004171,7200,1.3e-05,-2.80491783420307,-2.53866578505214,2780
1,567094,2948610,"2016-07-06 10:00:00",10,0,0.01,7200,0.00034,0,2.80491783420307,2780
1,567104,2948610,"2016-07-06 12:00:00",-9,35,0.0361386219991853,7200,8e-05,1.82248629855308,1.82248629855308,2780
1,567095,2948645,"2016-07-06 14:00:00",-3,-18,0.0182482875908947,7200,0.00125,-1.73594500420952,2.72475400441698,2780
1,567092,2948627,"2016-07-06 16:00:00",-2,-19,0.0191049731745428,7200,0.000569,-1.67567326552513,0.060271738684393,2780
1,567090,2948608,"2016-07-06 18:00:00",-10,17,0.019723082923316,7200,0.00052,2.1025203940537,-2.50499164760075,2780
1,567080,2948625,"2016-07-06 20:00:00",24,0,0.024,7200,0.001145,0,-2.1025203940537,2780
1,567104,2948625,"2016-07-06 22:00:00",0,3,0.003,7200,0.000185,1.5707963267949,1.5707963267949,2780
1,567104,2948628,"2016-07-07 00:00:00",10,-3,0.0104403065089106,7200,0.00026,-0.291456794477867,-1.86225312127276,2780
1,567114,2948625,"2016-07-07 02:00:00",-12,-2,0.0121655250605964,7200,0.000125,-2.97644397617517,-2.6849871816973,2780
1,567102,2948623,"2016-07-07 04:00:00",2,5,0.0053851648071345,7200,0.000181,1.19028994968253,-2.11645138132189,2780
1,567104,2948628,"2016-07-07 06:00:00",44,-12,0.0456070170039655,7200,0.00026,-0.266252049150925,-1.45654199883346,2780
1,567148,2948616,"2016-07-07 08:00:00",-46,25,0.0523545604508337,7200,0.0013,2.64377032097279,2.91002237012372,2780
1,567102,2948641,"2016-07-07 10:00:00",-2,-9,0.00921954445729289,7200,0.000829,-1.78946527266884,1.84994971353796,2780
1,567100,2948632,"2016-07-07 12:00:00",-8,-9,0.0120415945787923,7200,0.000468,-2.29743866747662,-0.507973394807784,2780
1,567092,2948623,"2016-07-07 14:00:00",8,2,0.00824621125123532,7200,0.000481,0.244978663126864,2.54241733060349,2780
1,567100,2948625,"2016-07-07 16:00:00",-11,-21,0.0237065391822594,7200,0.000265,-2.05330962181737,-2.29828828494424,2780
1,567089,2948604,"2016-07-07 18:00:00",-7,37,0.0376563407675255,7200,0.000629,1.75777559671381,-2.4721000886484,2780
1,567082,2948641,"2016-07-07 20:00:00",12,-16,0.02,7200,0.001629,-0.927295218001612,-2.68507081471542,2780
